           1   0.0000000000000000        0.0000000000000000            15434
           2   9.6061479346781938E-004   6.0000000000000000            15821
           3   1.9212295869356388E-003   9.0000000000000000            15991
           4   2.8818443804034580E-003   11.000000000000000            16143
           5   3.8424591738712775E-003   20.000000000000000            16678
           6   4.8030739673390974E-003   34.000000000000000            17521
           7   5.7636887608069160E-003   35.000000000000000            17587
           8   6.7243035542747355E-003   37.000000000000000            17688
           9   7.6849183477425550E-003   38.000000000000000            17725
          10   8.6455331412103754E-003   39.000000000000000            17786
          11   9.6061479346781949E-003   39.000000000000000            17814
          12   1.0566762728146013E-002   40.000000000000000            17848
          13   1.1527377521613832E-002   42.000000000000000            17974
          14   1.2487992315081652E-002   42.000000000000000            17998
          15   1.3448607108549471E-002   47.000000000000000            18260
          16   1.4409221902017291E-002   48.000000000000000            18357
          17   1.5369836695485110E-002   49.000000000000000            18417
          18   1.6330451488952930E-002   50.000000000000000            18463
          19   1.7291066282420751E-002   57.000000000000000            18864
          20   1.8251681075888569E-002   57.000000000000000            18904
          21   1.9212295869356390E-002   63.000000000000000            19227
          22   2.0172910662824207E-002   65.000000000000000            19373
          23   2.1133525456292025E-002   67.000000000000000            19459
          24   2.2094140249759846E-002   68.000000000000000            19543
          25   2.3054755043227664E-002   70.000000000000000            19643
          26   2.4015369836695485E-002   72.000000000000000            19812
          27   2.4975984630163303E-002   73.000000000000000            19856
          28   2.5936599423631124E-002   74.000000000000000            19894
          29   2.6897214217098942E-002   75.000000000000000            19970
          30   2.7857829010566763E-002   76.000000000000000            20047
          31   2.8818443804034581E-002   83.000000000000000            20460
          32   2.9779058597502402E-002   86.000000000000000            20621
          33   3.0739673390970220E-002   86.000000000000000            20646
          34   3.1700288184438041E-002   86.000000000000000            20648
          35   3.2660902977905859E-002   86.000000000000000            20653
          36   3.3621517771373677E-002   87.000000000000000            20682
          37   3.4582132564841501E-002   88.000000000000000            20734
          38   3.5542747358309319E-002   88.000000000000000            20746
          39   3.6503362151777137E-002   92.000000000000000            21005
          40   3.7463976945244955E-002   93.000000000000000            21056
          41   3.8424591738712779E-002   94.000000000000000            21080
          42   3.9385206532180597E-002   94.000000000000000            21092
          43   4.0345821325648415E-002   94.000000000000000            21112
          44   4.1306436119116233E-002   95.000000000000000            21137
          45   4.2267050912584050E-002   96.000000000000000            21221
          46   4.3227665706051875E-002   96.000000000000000            21239
          47   4.4188280499519693E-002   96.000000000000000            21245
          48   4.5148895292987511E-002   97.000000000000000            21298
          49   4.6109510086455328E-002   98.000000000000000            21322
          50   4.7070124879923153E-002   98.000000000000000            21332
          51   4.8030739673390971E-002   103.00000000000000            21623
          52   4.8991354466858789E-002   104.00000000000000            21685
          53   4.9951969260326606E-002   104.00000000000000            21688
          54   5.0912584053794431E-002   105.00000000000000            21774
          55   5.1873198847262249E-002   106.00000000000000            21841
          56   5.2833813640730067E-002   107.00000000000000            21889
          57   5.3794428434197884E-002   110.00000000000000            22050
          58   5.4755043227665709E-002   111.00000000000000            22108
